Date,Mobile Operating System,Percent of Usage
04/05/2019,WinCE,0.99
04/05/2019,Nintendo 3DS,0
04/05/2019,Nintendo,0.38
04/05/2019,webOS,0.42
04/05/2019,WinXP,0
04/05/2019,Brew,0
04/05/2019,Motorola,0.01
04/05/2019,Win7,0
04/05/2019,MeeGo,0
04/05/2019,Maemo 5,0
04/05/2019,WinVista,0
04/05/2019,Other,0.3
04/05/2019,Android,5.35
04/05/2019,iOS,33.92
04/05/2019,SymbianOS,32.71
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,11.13
04/05/2019,Samsung,1.69
04/05/2019,Unknown,5.46
04/05/2019,Windows Phone,0
04/05/2019,Sony Ericsson,6.38
04/05/2019,Linux,0
04/05/2019,bada,0
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.24
04/05/2019,Playstation,1.11
04/05/2019,WinCE,0.85
04/05/2019,Nintendo 3DS,0
04/05/2019,Nintendo,0.42
04/05/2019,webOS,0.42
04/05/2019,WinXP,0
04/05/2019,Brew,0
04/05/2019,Motorola,0.01
04/05/2019,Win7,0
04/05/2019,MeeGo,0
04/05/2019,Maemo 5,0
04/05/2019,WinVista,0
04/05/2019,Other,0.3
04/05/2019,Android,5.9
04/05/2019,iOS,30.13
04/05/2019,SymbianOS,34.51
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,12.73
04/05/2019,Samsung,1.69
04/05/2019,Unknown,5.71
04/05/2019,Windows Phone,0
04/05/2019,Sony Ericsson,6.21
04/05/2019,Linux,0
04/05/2019,bada,0
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.22
04/05/2019,Playstation,1.1
04/05/2019,WinCE,0.73
04/05/2019,Nintendo 3DS,0
04/05/2019,Nintendo,0.35
04/05/2019,webOS,0.4
04/05/2019,WinXP,0.02
04/05/2019,Brew,0
04/05/2019,Motorola,0.01
04/05/2019,Win7,0
04/05/2019,MeeGo,0
04/05/2019,Maemo 5,0
04/05/2019,WinVista,0
04/05/2019,Other,0.26
04/05/2019,Android,5.58
04/05/2019,iOS,29.38
04/05/2019,SymbianOS,33.54
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,14.06
04/05/2019,Samsung,2.02
04/05/2019,Unknown,6.68
04/05/2019,Windows Phone,0
04/05/2019,Sony Ericsson,6.02
04/05/2019,Linux,0
04/05/2019,bada,0
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.17
04/05/2019,Playstation,1.16
04/05/2019,WinCE,0.5
04/05/2019,Nintendo 3DS,0
04/05/2019,Nintendo,0.26
04/05/2019,webOS,0.44
04/05/2019,WinXP,0.02
04/05/2019,Brew,0
04/05/2019,Motorola,0
04/05/2019,Win7,0
04/05/2019,MeeGo,0
04/05/2019,Maemo 5,0
04/05/2019,WinVista,0
04/05/2019,Other,0.17
04/05/2019,Android,3.94
04/05/2019,iOS,29.01
04/05/2019,SymbianOS,32.92
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,14.15
04/05/2019,Samsung,2.86
04/05/2019,Unknown,9.09
04/05/2019,Windows Phone,0
04/05/2019,Sony Ericsson,5.9
04/05/2019,Linux,0
04/05/2019,bada,0
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.07
04/05/2019,Playstation,1.02
04/05/2019,WinCE,0.17
04/05/2019,Nintendo 3DS,0
04/05/2019,Nintendo,0.25
04/05/2019,webOS,0.52
04/05/2019,WinXP,0.02
04/05/2019,Brew,0
04/05/2019,Motorola,0
04/05/2019,Win7,0
04/05/2019,MeeGo,0
04/05/2019,Maemo 5,0
04/05/2019,WinVista,0
04/05/2019,Other,0.07
04/05/2019,Android,3.95
04/05/2019,iOS,26.66
04/05/2019,SymbianOS,33.39
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,14.98
04/05/2019,Samsung,3.34
04/05/2019,Unknown,9.81
04/05/2019,Windows Phone,0
04/05/2019,Sony Ericsson,5.79
04/05/2019,Linux,0
04/05/2019,bada,0
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.07
04/05/2019,Playstation,1.02
04/05/2019,WinCE,0.15
04/05/2019,Nintendo 3DS,0
04/05/2019,Nintendo,0.25
04/05/2019,webOS,0.52
04/05/2019,WinXP,0.02
04/05/2019,Brew,0
04/05/2019,Motorola,0
04/05/2019,Win7,0
04/05/2019,MeeGo,0
04/05/2019,Maemo 5,0
04/05/2019,WinVista,0
04/05/2019,Other,0.06
04/05/2019,Android,7.91
04/05/2019,iOS,26.05
04/05/2019,SymbianOS,32.04
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,16.45
04/05/2019,Samsung,2.93
04/05/2019,Unknown,6.77
04/05/2019,Windows Phone,0
04/05/2019,Sony Ericsson,5.47
04/05/2019,Linux,0
04/05/2019,bada,0
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.15
04/05/2019,Playstation,0.92
04/05/2019,WinCE,0.38
04/05/2019,Nintendo 3DS,0
04/05/2019,Nintendo,0.24
04/05/2019,webOS,0.51
04/05/2019,WinXP,0.02
04/05/2019,Brew,0
04/05/2019,Motorola,0
04/05/2019,Win7,0
04/05/2019,MeeGo,0
04/05/2019,Maemo 5,0
04/05/2019,WinVista,0
04/05/2019,Other,0.16
04/05/2019,Android,9.22
04/05/2019,iOS,25.71
04/05/2019,SymbianOS,31.54
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,16.95
04/05/2019,Samsung,2.85
04/05/2019,Unknown,6.16
04/05/2019,Windows Phone,0
04/05/2019,Sony Ericsson,5.43
04/05/2019,Linux,0
04/05/2019,bada,0
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.16
04/05/2019,Playstation,0.7
04/05/2019,WinCE,0.38
04/05/2019,Nintendo 3DS,0
04/05/2019,Nintendo,0.23
04/05/2019,webOS,0.45
04/05/2019,WinXP,0.02
04/05/2019,Brew,0
04/05/2019,Motorola,0
04/05/2019,Win7,0
04/05/2019,MeeGo,0
04/05/2019,Maemo 5,0
04/05/2019,WinVista,0
04/05/2019,Other,0.19
04/05/2019,Android,9.79
04/05/2019,iOS,22.85
04/05/2019,SymbianOS,32.69
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,17.9
04/05/2019,Samsung,2.96
04/05/2019,Unknown,6.59
04/05/2019,Windows Phone,0
04/05/2019,Sony Ericsson,5.61
04/05/2019,Linux,0
04/05/2019,bada,0
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.13
04/05/2019,Playstation,0.46
04/05/2019,WinCE,0.34
04/05/2019,Nintendo 3DS,0
04/05/2019,Nintendo,0.15
04/05/2019,webOS,0.35
04/05/2019,WinXP,0.02
04/05/2019,Brew,0
04/05/2019,Motorola,0
04/05/2019,Win7,0
04/05/2019,MeeGo,0
04/05/2019,Maemo 5,0
04/05/2019,WinVista,0
04/05/2019,Other,0.16
04/05/2019,Android,10.67
04/05/2019,iOS,22.45
04/05/2019,SymbianOS,32.83
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,18.19
04/05/2019,Samsung,2.83
04/05/2019,Unknown,5.91
04/05/2019,Windows Phone,0
04/05/2019,Sony Ericsson,5.54
04/05/2019,Linux,0
04/05/2019,bada,0
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.12
04/05/2019,Playstation,0.4
04/05/2019,WinCE,0.49
04/05/2019,Nintendo 3DS,0
04/05/2019,Nintendo,0.13
04/05/2019,webOS,0.31
04/05/2019,WinXP,0.01
04/05/2019,Brew,0
04/05/2019,Motorola,0
04/05/2019,Win7,0
04/05/2019,MeeGo,0
04/05/2019,Maemo 5,0
04/05/2019,WinVista,0
04/05/2019,Other,0.13
04/05/2019,Android,11.61
04/05/2019,iOS,21.94
04/05/2019,SymbianOS,31.93
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,19.25
04/05/2019,Samsung,3.49
04/05/2019,Unknown,5.32
04/05/2019,Windows Phone,0
04/05/2019,Sony Ericsson,4.9
04/05/2019,Linux,0
04/05/2019,bada,0
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.12
04/05/2019,Playstation,0.37
04/05/2019,WinCE,0.44
04/05/2019,Nintendo 3DS,0
04/05/2019,Nintendo,0.13
04/05/2019,webOS,0.29
04/05/2019,WinXP,0
04/05/2019,Brew,0
04/05/2019,Motorola,0
04/05/2019,Win7,0
04/05/2019,MeeGo,0
04/05/2019,Maemo 5,0.1
04/05/2019,WinVista,0
04/05/2019,Other,0.11
04/05/2019,Android,13.6
04/05/2019,iOS,23.57
04/05/2019,SymbianOS,29.66
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,18.04
04/05/2019,Samsung,4.05
04/05/2019,Unknown,5.13
04/05/2019,Windows Phone,0
04/05/2019,Sony Ericsson,4.32
