Date,Mobile Operating System,Percent of Usage
04/05/2019,Motorola,0.01
04/05/2019,Win7,0
04/05/2019,MeeGo,0.01
04/05/2019,Maemo 5,0
04/05/2019,WinVista,0.02
04/05/2019,Other,0
04/05/2019,Android,54.87
04/05/2019,iOS,23.57
04/05/2019,SymbianOS,2.49
04/05/2019,Series 40,7.24
04/05/2019,BlackBerry OS,1.59
04/05/2019,Samsung,2.51
04/05/2019,Unknown,3.59
04/05/2019,Windows Phone,2.36
04/05/2019,Sony Ericsson,0.21
04/05/2019,Linux,0.54
04/05/2019,bada,0.14
04/05/2019,Nokia Unknown,0.58
04/05/2019,LG,0.17
04/05/2019,Playstation,0.06
04/05/2019,WinCE,0
04/05/2019,Nintendo 3DS,0.01
04/05/2019,Nintendo,0.01
04/05/2019,webOS,0
04/05/2019,WinXP,0
04/05/2019,Brew,0.01
04/05/2019,Motorola,0.01
04/05/2019,Win7,0
04/05/2019,MeeGo,0.01
04/05/2019,Maemo 5,0
04/05/2019,WinVista,0.02
04/05/2019,Other,0
04/05/2019,Android,55.7
04/05/2019,iOS,24.73
04/05/2019,SymbianOS,2.18
04/05/2019,Series 40,6.94
04/05/2019,BlackBerry OS,1.57
04/05/2019,Samsung,2.28
04/05/2019,Unknown,2.7
04/05/2019,Windows Phone,2.29
04/05/2019,Sony Ericsson,0.2
04/05/2019,Linux,0.36
04/05/2019,bada,0.14
04/05/2019,Nokia Unknown,0.64
04/05/2019,LG,0.17
04/05/2019,Playstation,0.04
04/05/2019,WinCE,0
04/05/2019,Nintendo 3DS,0.01
04/05/2019,Nintendo,0.01
04/05/2019,webOS,0
04/05/2019,WinXP,0.01
04/05/2019,Brew,0.01
04/05/2019,Motorola,0.01
04/05/2019,Win7,0
04/05/2019,MeeGo,0.01
04/05/2019,Maemo 5,0
04/05/2019,WinVista,0.02
04/05/2019,Other,0
04/05/2019,Android,57.43
04/05/2019,iOS,25.96
04/05/2019,SymbianOS,1.8
04/05/2019,Series 40,5.68
04/05/2019,BlackBerry OS,1.29
04/05/2019,Samsung,1.8
04/05/2019,Unknown,2.33
04/05/2019,Windows Phone,2.32
04/05/2019,Sony Ericsson,0.15
04/05/2019,Linux,0.32
04/05/2019,bada,0.11
04/05/2019,Nokia Unknown,0.55
04/05/2019,LG,0.13
04/05/2019,Playstation,0.06
04/05/2019,WinCE,0
04/05/2019,Nintendo 3DS,0.01
04/05/2019,Nintendo,0
04/05/2019,webOS,0
04/05/2019,WinXP,0.01
04/05/2019,Brew,0.01
04/05/2019,Motorola,0.01
04/05/2019,Win7,0
04/05/2019,MeeGo,0.01
04/05/2019,Maemo 5,0
04/05/2019,WinVista,0.02
04/05/2019,Other,0.01
04/05/2019,Android,59.9
04/05/2019,iOS,23.02
04/05/2019,SymbianOS,1.82
04/05/2019,Series 40,5.73
04/05/2019,BlackBerry OS,1.3
04/05/2019,Samsung,1.75
04/05/2019,Unknown,2.62
04/05/2019,Windows Phone,2.42
04/05/2019,Sony Ericsson,0.16
04/05/2019,Linux,0.35
04/05/2019,bada,0.11
04/05/2019,Nokia Unknown,0.58
04/05/2019,LG,0.13
04/05/2019,Playstation,0.04
04/05/2019,WinCE,0
04/05/2019,Nintendo 3DS,0.02
04/05/2019,Nintendo,0
04/05/2019,webOS,0
04/05/2019,WinXP,0
04/05/2019,Brew,0.01
04/05/2019,Motorola,0
04/05/2019,Win7,0
04/05/2019,MeeGo,0.01
04/05/2019,Maemo 5,0
04/05/2019,WinVista,0.02
04/05/2019,Other,0.01
04/05/2019,Android,58.96
04/05/2019,iOS,25.15
04/05/2019,SymbianOS,1.63
04/05/2019,Series 40,5.18
04/05/2019,BlackBerry OS,1.27
04/05/2019,Samsung,1.59
04/05/2019,Unknown,2.48
04/05/2019,Windows Phone,2.29
04/05/2019,Sony Ericsson,0.14
04/05/2019,Linux,0.27
04/05/2019,bada,0.1
04/05/2019,Nokia Unknown,0.74
04/05/2019,LG,0.12
04/05/2019,Playstation,0.04
04/05/2019,WinCE,0
04/05/2019,Nintendo 3DS,0.02
04/05/2019,Nintendo,0
04/05/2019,webOS,0
04/05/2019,WinXP,0
04/05/2019,Brew,0.01
04/05/2019,Motorola,0
04/05/2019,Win7,0
04/05/2019,MeeGo,0.01
04/05/2019,Maemo 5,0
04/05/2019,WinVista,0.02
04/05/2019,Other,0
